,Global_GDP,US_Industrial_Production_Index,Global_Inflation,US_CPI_Fuels,10Y_Treasury_Yield,Fed_Funds_Rate,RealGDP_PerCapita,Unemployment_rate,opec_prod,Global_Prod,Econ_Policy_Uncertainty,Global_Policy_Uncertainty,US_FinReports_Petroleum_Coal,Vol_Energy_Regulation,Vol_Elections,WTI_Futures,US Dollar Index (DXY),WTI_Spot,Brent_Spot,NaturalGas_Spot,Baltic_Clean_Tanker,Baltic_Dirty_Tanker,GSCPI_Index
2012-09-01,77035571114564.6,97.2217,3.009557839812667,336.39,1.72,0.14,55420.0,7.8,21071.523287666667,91126.99933203551,136.66848748904397,152.09238700882753,81515.66666666667,0.30514,1.09851,79.94000244140625,15.729999542236328,92.19000244140625,112.86,2.85,642.0,649.0,-0.24
2012-10-01,77214520414114.83,97.5311,2.9200867371509425,339.808,1.75,0.16,55403.0,7.8,21062.915753425,91171.70452854333,89.7789054659786,159.56126963280454,81332.0,0.6714,1.23089,79.91999816894531,18.600000381469727,86.23999786376953,111.71,3.32,647.0,674.0,0.02
2012-11-01,77393469713665.05,97.9084,2.8306156344892184,339.536,1.65,0.16,55555.0,7.7,21054.30821918333,91216.4097250511,126.06981088005772,173.73892025741654,82050.66666666667,0.10882,1.79559,80.1500015258789,15.869999885559082,88.91000366210938,109.06,3.54,741.0,705.0,-0.33
2012-12-01,77572419013215.28,98.1884,2.7411445318274943,335.029,1.72,0.16,55707.0,7.9,21045.700684941665,91261.11492155888,104.01222595943538,168.52203103989024,82769.33333333333,0.20396,0.71387,79.7699966430664,18.020000457763672,91.81999969482422,109.49,3.34,756.0,764.0,-0.13
2013-01-01,77751368312765.5,98.1736,2.65167342916577,332.369,1.91,0.14,55859.0,8.0,21037.0931507,91305.82011806668,97.48262089011575,167.89868566937773,83488.0,0.36416,0.68279,79.20999908447266,14.279999732971191,97.48999786376953,112.96,3.33,706.0,636.0,-0.03
2013-02-01,77929953100029.14,98.6434,2.626908187418921,333.382,1.98,0.15,55877.333333333336,7.7,21056.541372275,91521.95797567778,77.29902954089897,125.5661369161894,83125.33333333333,0.11793,0.35378,81.9800033569336,15.510000228881836,92.05000305175781,116.05,3.33,693.0,697.0,-0.36
2013-03-01,78108537887292.78,99.047,2.602142945672072,326.197,1.96,0.14,55895.66666666666,7.5,21075.98959385,91738.09583328888,74.67810941789031,141.56808510690408,82762.66666666667,1.88333,0.26279,82.98999786376953,12.699999809265137,97.2300033569336,108.47,3.81,691.0,661.0,-0.53
2013-04-01,78287122674556.42,98.9445,2.577377703925223,322.008,1.76,0.15,55914.0,7.6,21095.437815425,91954.2336909,34.016665274439994,133.5997696881643,82400.0,0.20183,0.10091,81.7300033569336,13.520000457763672,93.45999908447266,102.25,4.17,609.0,619.0,-0.71
2013-05-01,78465707461820.06,99.0383,2.5526124621783737,319.91,1.93,0.11,56033.333333333336,7.5,21114.886037,92170.37154851112,35.08108827374346,106.287878891663,82819.33333333333,0.54669,0.1988,83.37999725341797,16.299999237060547,91.97000122070312,102.56,4.04,589.0,612.0,-0.84
2013-06-01,78644292249083.7,99.2221,2.5278472204315245,324.282,2.3,0.09,56152.66666666666,7.5,21134.334258575,92386.50940612222,55.33706098550452,119.42237635814324,83238.66666666667,0.5369,0.09762,83.16999816894531,16.860000610351562,96.55999755859375,102.92,3.83,561.0,577.0,-0.64
